web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587214931-1,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=50,,,,,,,,,2 Baños
1587215431-882,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=9,,,,"Av. Prolongación Iquitos 2230, 
								 Lince, Lima",,,,,
1587215419-710,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,Vivero,https://urbania.pe/inmueble/proyecto-vivero-lima-jesus-maria-urbana-peru-peru-empresa-8004500,,,,,,,
1587215382-391,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=13,,,,,,,,"Edifica presenta alta, un nuevo estándar en estilo de vida y exclusividad. Un nuevo proyecto para aquellos que les gusta vivir en el centro financiero de San Isidro, con la comodidad que solo un edificio Walking distance puede ofrecer. Esquina con Rivera Navarret",
1587215407-644,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,,,"39 a 61 
							
							m² techados",,,
1587215317-165,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=18,,,,,,,,,2 Baños
1587215419-764,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,,,,,,,
1587215382-330,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=13,,,,,Inmediata,,,,
1587215480-1472,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,,"Av. Parque Sur 663, 
								 San Borja, Lima",,,,,
1587215370-200,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=14,,,"S/ 294,807",,,,,,
1587215529-2036,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=1,,,,"Av. Cuba N° 1145-1155, 
								 Jesús María, Lima",,,,,
1587215382-290,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=13,,,"S/ 654,500",,,,,,
1587215395-483,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,,Octubre 2020,,,,
1587215443-1010,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,"S/ 380,000",,,,,,
